ID_Country,ID_EnergyCarrier,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Default,electricity,€/kWh,0.177191858246513,0.18647529314823,0.192999845600123,0.207039015964543,0.191668205928446,0.195962204611133,0.195515605910475,0.195859177976944,0.194790661622623,0.192754730120079,0.194194779313108,0.194570438966241,0.198551395360575,0.208283598879827,0.220146240889808,0.23094819030028,0.237208164272833,0.239897945108249,0.241940841249649,0.247272960523993,0.251425969601968,0.258731178192034,0.271033147884019,0.277660546123996,0.285544178995498,0.284665915939772,0.289897676343388,0.291207783886038,0.302537350562433,0.308425724991799,0.314314099421165,0.320202473850531,0.326090848279897,0.331979222709263,0.337867597138629,0.343755971567995,0.349644345997361,0.355532720426727,0.361421094856093,0.367309469285459,0.373197843714825,0.379086218144191,0.384974592573557
Austria,electricity,€/kWh,0.177191858246513,0.18647529314823,0.192999845600123,0.207039015964543,0.191668205928446,0.195962204611133,0.195515605910475,0.195859177976944,0.194790661622623,0.192754730120079,0.194194779313108,0.194570438966241,0.198551395360575,0.208283598879827,0.220146240889808,0.23094819030028,0.237208164272833,0.239897945108249,0.241940841249649,0.247272960523993,0.251425969601968,0.258731178192034,0.271033147884019,0.277660546123996,0.285544178995498,0.284665915939772,0.289897676343388,0.291207783886038,0.302537350562433,0.308425724991799,0.314314099421165,0.320202473850531,0.326090848279897,0.331979222709263,0.337867597138629,0.343755971567995,0.349644345997361,0.355532720426727,0.361421094856093,0.367309469285459,0.373197843714825,0.379086218144191,0.384974592573557
Belgium,electricity,€/kWh,0.215207827833738,0.190520632601465,0.197399842080126,0.205988076540095,0.198733340082354,0.205654399307363,0.208565287931182,0.220383085427102,0.21885667004917,0.230411155614245,0.244450571202776,0.221367844258664,0.222497183157565,0.230972483017636,0.237226884241698,0.245627523663391,0.244598039980196,0.269778812156633,0.278197225906011,0.258326294811365,0.262968899743564,0.263055410220661,0.279550049166209,0.271158578947973,0.286098685192452,0.292752651001546,0.299082186082245,0.303059274665721,0.300779858614726,0.304485167355144,0.308190476095562,0.311895784835981,0.315601093576399,0.319306402316817,0.323011711057235,0.326717019797654,0.330422328538072,0.33412763727849,0.337832946018908,0.341538254759327,0.345243563499745,0.348948872240163,0.352654180980581
Cyprus,electricity,€/kWh,0.204011836790531,0.193525809102036,0.202099838320129,0.20630214338653,0.205202353958715,0.224408680085817,0.216964905363536,0.227738403196907,0.230274839918496,0.226730079804175,0.234801722900538,0.235275714146985,0.250345988957203,0.248879222816626,0.246635688089782,0.257804958276244,0.26006845649729,0.259624430479837,0.258405806419567,0.268639720313536,0.274261548207723,0.268710464053352,0.268405357092724,0.27590288991419,0.273110898214274,0.287102107734107,0.295230100304735,0.30551637984075,0.299739166260303,0.303712213628311,0.307685260996319,0.311658308364327,0.315631355732335,0.319604403100343,0.323577450468351,0.327550497836359,0.331523545204367,0.335496592572376,0.339469639940384,0.343442687308392,0.3474157346764,0.351388782044408,0.355361829412416
Czech Republic,electricity,€/kWh,0.129887896089683,0.130792239275827,0.139199888640089,0.145156534754333,0.135891928116746,0.140683175320237,0.140919872478258,0.139839207383506,0.140944761387311,0.143163374745778,0.150352821087061,0.152640433476561,0.1734014770797,0.176898941406975,0.187432762475157,0.198883386807918,0.194416496146793,0.201114233750691,0.186122498545862,0.187669247417389,0.197073344920431,0.216593235181698,0.215195205551168,0.211361515934571,0.218686440198786,0.216949505575573,0.221039425707984,0.23677537327026,0.234078656115699,0.238113280225067,0.242147904334435,0.246182528443803,0.250217152553171,0.254251776662539,0.258286400771906,0.262321024881274,0.266355648990642,0.27039027310001,0.274424897209378,0.278459521318746,0.282494145428114,0.286528769537482,0.29056339364685
Denmark,electricity,€/kWh,0.278495777203378,0.246816748751445,0.270799783360173,0.27956536243228,0.26025011320457,0.264080262645412,0.267549448808707,0.264016376042406,0.26047545504045,0.262122247573715,0.272343710507757,0.286928644256973,0.301818789395554,0.315134807598984,0.327877009754872,0.33868309190761,0.369738648254847,0.379748836172965,0.369340723307858,0.377801063105877,0.383817133160411,0.391889755291253,0.390671229379701,0.395705566444767,0.398009255634009,0.408062258520608,0.42454548801595,0.436133782754191,0.430105595657966,0.435794026876906,0.441482458095846,0.447170889314786,0.452859320533726,0.458547751752666,0.464236182971606,0.469924614190546,0.475613045409486,0.481301476628426,0.486989907847366,0.492678339066306,0.498366770285246,0.504055201504186,0.509743632723126
Estonia,electricity,€/kWh,0.0849959320032544,0.0911548667418529,0.100399919680064,0.100765027108689,0.0837368615845467,0.0879174623480236,0.0889433789830387,0.0866013131484423,0.0883421175260078,0.0923825839754081,0.0929286006626542,0.10297274567469,0.111978797101844,0.119506981523071,0.124594896470472,0.125489062586013,0.129116908985926,0.13641394482021,0.146589305583694,0.153438748601415,0.164114024751832,0.171987039112981,0.195021118384266,0.197444219925348,0.205510946856677,0.211465423847003,0.220493164878224,0.208048043690952,0.233836015438817,0.242346169823278,0.250856324207739,0.259366478592199,0.26787663297666,0.27638678736112,0.284896941745581,0.293407096130041,0.3019172505145,0.310427404898961,0.318937559283421,0.327447713667883,0.335957868052343,0.344468022436804,0.352978176821264
Finland,electricity,€/kWh,0.127295898163281,0.120536459009349,0.136999890400087,0.139326613758032,0.126169420739973,0.129441782057524,0.127748806506112,0.123582271993096,0.122985614203967,0.125826335734755,0.13130744209689,0.144632505693565,0.142961353358915,0.154318815266851,0.16590322621468,0.176510452383597,0.167198964821201,0.17466513373922,0.185480488645865,0.183861916870005,0.188015589161048,0.20738302566453,0.214446494594589,0.216330877902323,0.221252985958467,0.223191030728888,0.236047816471248,0.230435614076599,0.244166363095582,0.250298469462834,0.256430575830086,0.262562682197338,0.26869478856459,0.274826894931842,0.280959001299094,0.287091107666346,0.293223214033598,0.299355320400849,0.305487426768101,0.311619533135353,0.317751639502605,0.323883745869857,0.330015852237109
France,electricity,€/kWh,0.120311903750477,0.131846144366974,0.134999892000086,0.14160744034284,0.133347107825052,0.138199583552121,0.139298040205445,0.1403169184381,0.138307913252796,0.136771234229771,0.142359186534984,0.148691015918529,0.155994608511478,0.164783699494559,0.174366928966264,0.182842581506077,0.182971760062396,0.194157732689004,0.199570732001544,0.207592291575449,0.207278199597255,0.209763505539841,0.21902472259585,0.217600044377902,0.220381647835868,0.221989404937642,0.22626635135079,0.230173502221141,0.23384143590891,0.237151400458542,0.240461365008174,0.243771329557806,0.247081294107438,0.250391258657071,0.253701223206703,0.257011187756335,0.260321152305967,0.263631116855599,0.266941081405231,0.270251045954863,0.273561010504496,0.276870975054128,0.28018093960376
Germany,electricity,€/kWh,0.21949182440654,0.235917256412051,0.243799804960155,0.255499515057311,0.245152656470502,0.251244128958517,0.248334785418532,0.251176011015078,0.250737601172125,0.250766564683231,0.250412393877677,0.256064417632946,0.265667884646302,0.281964262458129,0.297967885978572,0.308643969007703,0.325814659735896,0.330473638917862,0.333628004141427,0.337297214734675,0.339714514940066,0.347850123950826,0.363467257829993,0.35375694565942,0.373329667376002,0.361182349361006,0.368686343683243,0.372847055726368,0.380033536356585,0.384550745199033,0.389067954041481,0.393585162883929,0.398102371726376,0.402619580568824,0.407136789411272,0.41165399825372,0.416171207096167,0.420688415938615,0.425205624781063,0.42972283362351,0.434240042465958,0.438757251308406,0.443274460150853
